Section 1 Manufacturers information. enter manufacturer's NAME,Business,Date_of_Accident,Time_of_accident,Location,city,county,state,zip,Operator
GM Cruise LLC,Cruise,2019-06-20,9:03 PM,Bush St. and Octavia St.,San Francisco,San Francisco,CA,94109,
GM Cruise LLC,Cruise,2019-06-23,12:03 PM,Divisadero St. and Fell St.,San Francisco,San Francisco,CA,94117,
GM Cruise LLC,Cruise,2019-06-26,12:36 PM,10th Ave and California St.,San Francisco,San Francisco,CA,94118,
GM Cruise LLC,Cruise,2019-06-27,9:50 PM,Bryant St. and 10th St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-06-29,11:49 PM,Duboce Ave between Guerrero St. and Market St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-07-01,10:58 PM,Grant St. and Clay St.,San Francisco,San Francisco,CA,94108,
GM Cruise LLC,Cruise,2019-07-02,09:47 PM,Steiner St. and Bush St.,San Francisco,San Francisco,CA,94115,
GM Cruise LLC,Cruise,2019-07-10,9:59 PM,10th St. between Market St. and Mission St.,San Francisco,San Francisco,CA,94102,
GM Cruise LLC,Cruise,2019-07-15,11:02 PM,14th St. and Valencia St.,Ssn Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-07-17,3:02 PM,Fell St. and Fillmore St.,San Francisco,San Francisco,CA,94117,
GM Cruise LLC,Cruise,2019-07-20,08:58 PM,Mission St. between 2nd St. and Shaw Alley,San Francisco,San Francisco,CA,94105,
GM Cruise LLC,Cruise,2019-07-21,6:20 PM,Jackson St between Stockton St and Grant Ave,San Francisco,San Francisco,CA,94133,
GM Cruise LLC,Cruise,2019-07-21,09:01 PM,Market St at Duboce Ave and Church St,San Francisco,San Francisco,CA,94114,
GM Cruise LLC,Cruise,2019-08-04,2:32 PM,Leavenworth St. and Geary St.,San Francisco,San Francisco,CA,94109,
GM Cruise LLC,Cruise,2019-08-07,10:23 PM,24th St. between Noe St. and Sanchez St.,San Francisco,San Francisco,CA,94114,
GM Cruise LLC,Cruise,2019-08-10,11:39 PM,14th St. and Noe St.,San Francisco,San Francisco,CA,94114,
GM Cruise LLC,Cruise,2019-08-22,1:13 PM,Geary Blvd between 33rd Ave and 32nd Ave,San Francisco,San Francisco,CA,94121,
GM Cruise LLC,Cruise,2019-08-26,9:14 PM,Division St. between Potrero Ave. and Bryant St.,San Francisco,San Francisco,CA,94103,
GM Cruise LLC,Cruise,2019-09-05,5:33 PM,Haight St. and Gough St.,San Francisco,San Francisco,CA,94102,
GM Cruise LLC,Cruise,2019-09-09,4:24 PM,Geary Blvd and Palm Ave.,San Francisco,San Francisco,CA,94118,
GM Cruise LLC,Cruise,2019-09-27,11:49 PM,Clay St. and Kearny St.,San Francisco,San Francisco,CA,94108,
GM Cruise LLC,Cruise,2019-10-03,4:40 PM,10th St. and Bryant St.,San Francisco,San Francisco,CA,94103,
Cruise LLC,Cruise,2019-10-12,1:23 PM,Spear St. between Howard St. and Folsom St.,San Francisco,San Francisco,CA,94105,
"Lyft, Inc.","Lyft, Inc.",2019-02-28,2:06 PM,Northbound Shoreline Boulevard and Wright Ave,Mountain View,Santa Clara,CA,94043,
"Lyft, Inc.","Lyft, Inc.",,8:24 PM,Alma Road approaching Charleston Road,Palo Alto,Santa Clara,CA,94306,
"Lyft, Inc.","Lyft, Inc.",2019-03-12,4:05 PM,739 Pettis Avenue,Mountain View,Santa Clara,CA,94041,
"Lyft, Inc.","Lyft, Inc.",2019-04-11,11:31 PM,Natoma Street and 6th Street,San Francisco,San Francisco,CA,94103,
"Lyft, Inc.","Lyft, Inc.",2019-05-02,3:50 PM,NB on San Antonio Rd.,Palo Alto,Santa Clara,CA,94306,
"Lyft, Inc","Lyft, Inc",,2:04 PM,Medical Foundation Dr and El Camino Blvd.,Palo Alto,Santa Clara,CA,94301,
LYFT INC,LYFT INC,2020-12-02,3:05 PM,EMBARCADERO & FERRY PLAZA,SAN FRANCISCO,SAN FRANCISCO,CA,94107,
Lyft Inc.,Lyft Inc.,2021-04-14,09:38 PM,HARRISON & 1 ST,SAN FRANCISCO,SAN FRANCISCO,CA,94107,
,"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",2023-05-30,4:30 PM,EB Condensa Street,Santa Clara,Santa Clara,CA,95051,"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC."
,"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",2023-06-01,10:53 PM,710N NEAR 91E INTERCHANGE,LONG BEACH,LOS ANGELES,CA,90805,"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC."
